,deezer_id,genres,id,name,popularity,genre
950,407188,"[big room, dance pop, edm, electro house, pop, pop rap, progressive electro house]",1h6Cn3P4NGzXbaXidqURXs,Swedish House Mafia,69,pop
951,1935,"[german soundtrack, soundtrack]",0YC192cP3KPCRWx8zr8MfZ,Hans Zimmer,78,soundtrack
952,259467,"[belgian hip hop, french hip hop, rap conscient]",4FpJcNgOvIpSBeJgRg3OfN,Orelsan,75,french hip hop
953,172008,"[french hip hop, rap conscient]",4oVERQ0AxzzQ4zip1nMKlt,Gringe,67,french hip hop
954,4495584,[rap conscient],6BbceEVcjow8mhQPYK3eBK,Skread,37,rap conscient
955,9227048,[],3HPOnbuwLP2qlwWQ7cgxYW,Xantos,59,
956,1196215,"[rai, rif]",4l3uOQQa1NaZz7OVNAjbC2,Cheb Houssem,38,rif
957,637,"[glam metal, rock]",58lV9VcRSjABbAbfWS6skp,Bon Jovi,79,rock
958,13521,"[brazilian rock, mpb, pagode, rock gaucho, sertanejo, sertanejo universitario]",5re6NsyXzHg6uvNimzQ3F6,Jota Quest,67,mpb
959,3941,"[dub, reggae, rock steady, roots reggae]",6RTCb5pWKinqlUyG2qacit,Ernest Ranglin,43,roots reggae
960,8321,"[classic italian pop, italian pop, mexican pop]",0H1InhXaXQPL1aj0mvHemU,Gianluca Grignani,60,mexican pop
961,8702,"[chanson, ye ye]",1XspV6teuaJMwVq0QBXZA0,Nicoletta,37,chanson
962,298968,"[chillwave, downtempo, electronic, freak folk, indie pop, indie r&b, indietronica, wonky]",0qzzGu8qpbXYpzgV52wOFT,Bibio,59,indie r&b
963,347264,"[pop rap, soul flow]",4GKRKf0FAK4nLtmL3u3JQ9,XV,29,pop rap
964,626,"[bow pop, celtic rock, dance pop, europop, lilith, new wave pop, pop rock]",1VbWUxZTRNY2gw3qZ1tg9W,The Corrs,64,dance pop
965,365921,"[big room, dance pop, deep big room, edm, electro house, progressive electro house, tropical house]",2vVNxGBvKRQMWwI5c8KmYh,Tujamo,67,dance pop
966,6902131,[brazilian hip hop],13FuSigLoOp1jf1YKTNzC9,A Banca 021,52,brazilian hip hop
967,2605,"[dirty south rap, east coast hip hop, gangster rap, hardcore hip hop, hip hop, pop rap, rap, southern hip hop]",4VmEWwd8y9MCLwexFMdpwt,Method Man,71,rap
968,1915,"[acoustic pop, dance pop, folk-pop, indie anthem-folk, indie folk, neo mellow, neo-singer-songwriter, pop, viral pop]",3w6zswp5THsSKYLICUbDTZ,Gabrielle Aplin,64,pop
969,2831401,"[bass trap, brostep, edm, electro house, electronic trap]",47z7ZrgFoBvVpCnElCE3Zh,Yellow Claw,73,edm
970,4719704,[brazilian reggae],5M06IyTZgyRlWeNjazqsZK,Gabriel Elias,62,brazilian reggae
971,102544,"[axe, pagode]",3gdaj3L0OqxdaVoxnI7ZGu,Katinguelê,49,pagode
972,9243290,[],1gofZT57TPswTUypik1yUa,Grupo Katinguelê,35,
973,138,"[dance pop, dirty south rap, east coast hip hop, gangster rap, hip hop, hip pop, pop rap, r&b, rap, urban contemporary]",1J2VVASYAamtQ3Bt8wGgA6,Ja Rule,73,dance pop
974,586,"[dance pop, hip hop, hip pop, pop, pop rap, r&b, rap, southern hip hop, urban contemporary]",5rkVyNGXEgeUqKkB5ccK83,Ashanti,73,pop
975,3558,"[chanson, ye ye]",0lFr08kPxkwkXfsrHSmPvs,Daniel Guichard,41,chanson
976,1554,"[chanson, french rock]",20YtJDRaSzJREUlVvNfYB3,Bernard Lavilliers,47,chanson
977,167095,"[g funk, gangster rap, hip hop, pop rap, rap, west coast rap]",1ZwdS5xdxEREPySFridCfh,2Pac,82,rap
978,3102,"[adult standards, christmas, folk, folk rock, mellow gold, soft rock]",1eEfMU2AhEo7XnKgL7c304,Carpenters,70,mellow gold
979,207,"[album rock, art rock, bow pop, classic rock, folk rock, glam rock, mellow gold, rock, soft rock, symphonic rock]",7jefIIksOi1EazgRTfW2Pk,Electric Light Orchestra,73,rock
980,4032950,"[modern blues rock, modern hard rock]",3Ig1cmnFAUxpTEYVjTRkLo,Tyler Bryant & the Shakedown,38,modern blues rock
981,6722,"[latin alternative, latin pop, latin rock, mexican pop, rock en espanol]",1hcdI2N1023RvSwLzTtdsp,Natalia Lafourcade,77,latin pop
982,166984,"[canadian contemporary country, contemporary country, country, country road, modern country rock]",4BYxqVkZyFjtik7crYLg5Q,Chris Young,72,contemporary country
983,9248612,[brazilian reggae],0TN0rJqoYN9KACnGIgwizB,Sinara,41,brazilian reggae
984,972,"[american folk revival, folk, folk rock, folk-pop, singer-songwriter, traditional folk]",1EevBGfUh3RSQSGpluxgBm,Joan Baez,56,folk-pop
985,183821,"[latin, latin arena pop, latin pop, mexican pop]",5xd2Tg7Zo8755eCy8Gxkp8,Ha*Ash,76,latin
986,6603,"[dance pop, europop, pop]",5MmVJVhhYKQ86izuGHzJYA,MIKA,69,pop
987,1231,"[australian alternative rock, australian rock, dance rock, mellow gold, new romantic, new wave, new wave pop, rock, soft rock]",1eClJfHLoDI4rZe5HxzBFv,INXS,69,rock
988,5652,"[bubblegum dance, dance pop, eurodance, europop]",37DdwREpvvQHmGLFEZ4h0Q,Basshunter,63,dance pop
989,1191410,"[deep german hip hop, german hip hop]",0r0R5nIjDY04TfxRM10Bcb,Alligatoah,71,german hip hop
990,162248,[],7xQTON6uj7akAGzlanUzy3,Charlie Winston,48,
991,875419,[french hip hop],6Q2GjyK0uIN62HJM1CCo8v,Set&Match,40,french hip hop
992,2945,"[christmas, classic soul, funk, memphis soul, soul, soul blues, southern soul]",60df5JBRRPcnSpsIMxxwQm,Otis Redding,71,soul
993,1590752,"[gangster rap, hip hop, pop, pop rap, rap, trap music]",50co4Is1HCEo8bhOyUWKpn,Young Thug,88,pop
994,9264968,[],1qBAxwGXb0tawJ2TDxV6bq,Sihar,11,
995,16708,"[latin, latin hip hop, pop, reggaeton, reggaeton flow, tropical]",7tU1VKOuxiNZwBZC6RHidA,Alexis y Fido,70,pop
996,255,"[dance pop, deep pop r&b, hip pop, pop, pop rap, r&b, rap, southern hip hop, urban contemporary]",0f5nVCcR06GX8Qikz0COtT,Omarion,67,pop
997,7145969,[],3HJVw8aEtFqoc3raJVE8am,GD X TAEYANG,51,
998,1468165,[gypsy jazz],6YjO2mAfC8sQlsrYnnn2L2,Biel Ballester Trio,38,gypsy jazz
999,9276756,"[adoracao, brazilian gospel]",6bxqwbU9pD8GXcuSmNSSHU,Ministério Zoe,60,adoracao
1000,4726,"[american contemporary classical, classical, compositional ambient, contemporary classical, drone, fourth world, minimal, soundtrack]",69lxxQvsfAIoQbB20bEPFC,Philip Glass,66,soundtrack
1001,69689,"[bebop, big band, classical trumpet, contemporary post-bop, cool jazz, hard bop, jazz, jazz trumpet, new orleans jazz, soul jazz, vocal jazz]",375zxMmh2cSgUzFFnva0O7,Wynton Marsalis,58,vocal jazz
1002,7001595,[francoton],54PkMMnXLitSvrcpmT0pVT,Unicq,21,francoton
1003,5708,[],1XE70WwxhnrXNAJYQQ9ygx,Bill Medley,60,
1004,3166,"[adult standards, album rock, bubblegum pop, disco, folk rock, mellow gold, new wave pop, soft rock]",2ekjTXgjxbWwBX5lTAj4DU,Eric Carmen,62,mellow gold
1005,73927,[doo-wop],43BgumF6B7s0W2mhVkmVO4,Maurice Williams & The Zodiacs,44,doo-wop
1006,5707,[rhythm and blues],4Ej7Oks6loB2oJQ3O7Rujs,Mickey & Sylvia,46,rhythm and blues
1007,174,"[dance pop, pop, r&b, urban contemporary]",6XpaIBNiVzIetEPCWDvAFP,Whitney Houston,77,pop
1008,5287882,"[bass trap, electronic trap]",5bzWtCkjIAMgN93gLt56SO,Tropkillaz,64,electronic trap
1009,98345,"[latin christian, latin worship, rock cristiano]",4VYSLPSI9yb8qkUpKyVQSJ,Marco Barrientos,64,latin worship
1010,16275,"[brazilian punk, brazilian rock, mpb, rock gaucho]",4Z0yuwHVJBROVZqFpTIr0d,Capital Inicial,66,mpb
1011,6687039,"[adoracao, brazilian gospel]",0MGbmpBm2Gzvy6ENd9D1qv,Delino Marçal,48,adoracao
1012,3254,"[turkish pop, turkish rock]",2yMN0IP20GOaN6q0p0zL5k,Tarkan,64,turkish pop
1013,7972,"[dirty south rap, hip hop, pop, pop rap, rap, southern hip hop, trap music]",13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane,87,pop
1014,92753,"[deep rai, rai, rif]",3TWtWX4im4LcYNbW8BbbTB,Cheb Amar,22,rif
1015,8593090,[deep tropical house],4B5rYujqJxWucM0JyYsaFn,On June,44,deep tropical house
1016,9304276,[],31rnAeQ4WXL6700iqhaOMK,Biffguyz,39,
